x,y,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motor1,motor2
0,0,0.007,0.0038,0.0095,0.005,0.004,0.0029,0.0007,0.0016
0,1,0.0083,0.0019,0.0028,0.008,0.0024,0.0003,0.0017,0.0049
0,2,0.009,0.0085,0.0088,0.0013,0.0089,0.0013,0.0054,0.0017
0,3,0.0074,0.0077,0.0052,0.0012,0.0071,0.0037,0.0052,0.004
0,4,0.00752462,0.00482468,0.00881325,0.00140705,0.00752391,0.00952457,0.00312473,0.00587505
0,5,0.0025278,0.0068238,0.00435811,0.00413009,0.0070141,0.00652408,0.0096212,0.00426588
0,6,0.0069895,0.0102799,0.00772268,0.00392475,0.0113449,0.00479589,0.00748805,0.00308119
0,7,0.015841,0.0160397,0.0101924,0.00878083,0.0098106,0.00858849,0.00709824,-0.00560799
0,8,0.0188332,0.021402,0.00835721,0.00872494,0.0205378,0.0173424,0.0122137,-0.0116209
0,9,0.0222966,0.0250377,0.0151408,0.015123,0.0294765,0.0237211,0.0234714,-0.0173038
0,10,0.0340419,0.0422533,0.0247693,0.0212866,0.0323104,0.0348047,0.0385823,-0.0339453
0,11,0.0571815,0.0578421,0.0398563,0.0285247,0.0500048,0.0566595,0.0610509,-0.0555771
0,12,0.0856876,0.0866078,0.0541358,0.0415544,0.0656914,0.0736994,0.0850436,-0.0761185
0,13,0.114059,0.105742,0.0677077,0.0576351,0.0842869,0.09294,0.108335,-0.103238
0,14,0.136026,0.142002,0.0873319,0.0671743,0.100833,0.115934,0.136372,-0.132475
0,15,0.170953,0.17204,0.114038,0.0840733,0.121778,0.130766,0.166357,-0.156412
0,16,0.211711,0.211234,0.151312,0.11247,0.134448,0.151205,0.209088,-0.16286
0,17,0.267172,0.269377,0.201957,0.164542,0.148046,0.169825,0.271141,-0.135729
0,18,0.347177,0.345081,0.282004,0.23404,0.16906,0.189809,0.348618,-0.0647351
0,19,0.47017,0.466754,0.398076,0.347766,0.18872,0.210508,0.469316,0.0896775
0,20,0.597559,0.596709,0.523133,0.468561,0.211407,0.22563,0.595414,0.283125
0,21,0.754664,0.754713,0.68125,0.609329,0.237228,0.244986,0.755179,0.547927
0,22,0.905313,0.905769,0.8279,0.738571,0.263667,0.263741,0.905332,0.814588
0,23,0.985733,0.985599,0.90267,0.799393,0.278243,0.270404,0.985611,0.967578
0,24,0.999757,0.999755,0.899017,0.802237,0.28278,0.264459,0.999756,0.998984
0,25,1,1,0.885714,0.8,0.285714,0.257143,1,1
0,26,1,1,0.849849,0.808807,0.284867,0.262751,1,0.999974
0,27,1,1,0.8,0.800001,0.285714,0.257143,1,1
0,28,1,1,0.721649,0.932015,0.294747,0.30369,1,0.999997
0,29,1,1,0.671356,1,0.299928,0.328355,1,1
1,0,0.0022,0.0085,0.0015,0.0003,0.0082,0.0027,0.0076,0.0077
1,1,0.0018,0.0058,0.0052,0.0045,0.0049,0.0061,0.0043,0.0052
1,2,0.0084,0.0077,0.0017,0.0025,0.0042,0.0056,0.0094,0.009
1,3,0.008,0.0049,0.0061,0.0023,0.0074,0.0087,0.0066,0.0096
1,4,0.00714165,0.00804162,0.00982236,0.00541176,0.000840719,0.00734164,0.00304183,0.00235795
1,5,0.00461536,0.00960826,0.00759578,0.00849857,0.00559944,0.00251835,0.00451551,0.00127626
1,6,0.0129571,0.00897464,0.00716068,0.00455269,0.00464552,0.00887508,0.00628651,0.00366954
1,7,0.0192594,0.0178732,0.00520258,0.0102543,0.016382,0.016586,0.0160909,-0.00599142
1,8,0.0232623,0.024342,0.0184749,0.0121202,0.0213714,0.0207947,0.0262069,-0.0120727
1,9,0.033098,0.0372578,0.0213093,0.0167312,0.0367327,0.0398059,0.039773,-0.0282611
1,10,0.0552005,0.0554845,0.0354581,0.0222675,0.0565892,0.0615721,0.0535911,-0.047343
1,11,0.094778,0.088669,0.0548043,0.041392,0.0808252,0.0883546,0.0954162,-0.0862984
1,12,0.131327,0.132724,0.0831546,0.0644759,0.111089,0.115862,0.131152,-0.117963
1,13,0.168863,0.176678,0.1071,0.0819763,0.140561,0.14775,0.16903,-0.161048
1,14,0.216637,0.219547,0.134875,0.100831,0.17082,0.181947,0.219232,-0.210029
1,15,0.260766,0.259655,0.17449,0.133463,0.198141,0.215904,0.2601,-0.248545
1,16,0.315335,0.318838,0.218234,0.166746,0.214036,0.242583,0.314922,-0.265593
1,17,0.387582,0.38647,0.281958,0.226016,0.232122,0.25601,0.385419,-0.242706
1,18,0.472232,0.471274,0.371289,0.305207,0.242449,0.269384,0.46776,-0.167513
1,19,0.58799,0.590714,0.494925,0.423828,0.252066,0.279271,0.589971,0.0119792
1,20,0.707599,0.705299,0.617632,0.542497,0.256467,0.281348,0.707068,0.240197
1,21,0.839181,0.840146,0.762148,0.674379,0.267096,0.280276,0.839503,0.546948
1,22,0.950618,0.950583,0.883528,0.773967,0.275246,0.279644,0.950534,0.836858
1,23,0.995451,0.995473,0.937674,0.804853,0.27713,0.278747,0.995464,0.976736
1,24,0.999963,0.999963,0.943009,0.798127,0.274901,0.280621,0.999963,0.998919
1,25,1,1,0.937122,0.794912,0.273886,0.282482,1,0.999926
1,26,1,1,0.894467,0.821385,0.279677,0.278279,1,0.999936
1,27,1,1,0.840848,0.853114,0.285801,0.276376,1,0.999979
1,28,1,1,0.772594,0.922307,0.291959,0.296491,1,0.99998
1,29,1,1,0.703971,0.984611,0.297596,0.31789,1,0.999992
2,0,0.0017,0.007,0.0097,0.009,0.0009,0.0063,0.0064,0.0097
2,1,0.0039,0.0086,0.0036,0.0095,0.0041,0.001,0.0036,0.0033
2,2,0.0044,0.006,0.0004,0.0004,0.0063,0.0056,0.006,0.0094
2,3,0.0094,0.0087,0.0069,0.0046,0.0052,0.0061,0.008,0.0069
2,4,0.00306753,0.00776721,0.00593637,0.00401908,0.00396553,0.00246757,0.00366749,0.00773174
2,5,0.00329307,0.00908092,0.00822654,0.00584196,0.00995764,0.0029937,0.010478,0.000299382
2,6,0.013212,0.0150004,0.00578988,0.00548036,0.0107571,0.0150004,0.00913844,-0.00258105
2,7,0.0219274,0.0238983,0.0154163,0.0077578,0.0198017,0.0209419,0.0238983,-0.00615994
2,8,0.0316742,0.0330354,0.0163626,0.01786,0.0346415,0.0335009,0.0334243,-0.0189369
2,9,0.0525038,0.0525038,0.0298694,0.0194378,0.0511536,0.0519382,0.0526938,-0.0490825
2,10,0.0835209,0.0878331,0.0473803,0.0362577,0.0818019,0.0877476,0.0909526,-0.0809519
2,11,0.141824,0.143464,0.0825435,0.0584533,0.121614,0.129123,0.136818,-0.129912
2,12,0.205546,0.200254,0.121699,0.0918023,0.17319,0.179583,0.20298,-0.197127
2,13,0.269053,0.265601,0.159843,0.123439,0.221672,0.23993,0.272285,-0.262736
2,14,0.334794,0.33606,0.209203,0.154762,0.275544,0.296516,0.338723,-0.330665
2,15,0.402141,0.399616,0.25483,0.193873,0.310262,0.339588,0.403464,-0.388979
2,16,0.468277,0.465595,0.309368,0.238238,0.332781,0.369164,0.468116,-0.419534
2,17,0.538743,0.535676,0.386432,0.297544,0.340453,0.383752,0.536977,-0.399552
2,18,0.616438,0.616822,0.474058,0.381238,0.33407,0.383466,0.618166,-0.323357
2,19,0.71668,0.717134,0.590787,0.499111,0.325419,0.368867,0.716538,-0.135919
2,20,0.807376,0.806192,0.701134,0.605201,0.30689,0.343562,0.806677,0.113742
2,21,0.899917,0.899837,0.818304,0.71394,0.290837,0.314795,0.900259,0.458977
2,22,0.971664,0.971599,0.913968,0.790514,0.28154,0.292367,0.971587,0.794753
2,23,0.99797,0.997977,0.962676,0.807827,0.275706,0.284127,0.997965,0.96753
2,24,0.999995,0.999995,0.985811,0.794622,0.26883,0.292184,0.999995,0.998827
2,25,1,1,1,0.771432,0.257144,0.314284,1,1
2,26,1,1,0.943465,0.829537,0.275111,0.290054,1,0.999928
2,27,1,1,0.885714,0.885714,0.285714,0.285714,1,1
2,28,1,1,0.865292,0.918277,0.287465,0.28045,1,0.999952
2,29,1,1,0.850889,0.96612,0.28902,0.273759,1,0.999963
3,0,0.003,0.0044,0.0092,0.006,0.0051,0.0056,0.0027,0.0025
3,1,0.0098,0.0019,0.0008,0.0028,0.002,0.0081,0.0061,0.0082
3,2,0.0086,0.0094,0.0045,0.0066,0.0093,0.0054,0.0059,0.003
3,3,0.002,0.0089,0.0001,0.0022,0.0095,0.0041,0.0066,0.0026
3,4,0.00840274,0.00610298,0.00845537,0.00352924,0.00160048,0.00130348,0.00610298,0.00139624
3,5,0.00615935,0.00974867,0.00576358,0.0062507,0.00772425,0.00346737,0.00635876,0.000421052
3,6,0.00913761,0.0167673,0.00463902,0.0125714,0.0122089,0.0148846,0.0114166,-0.00398513
3,7,0.0255338,0.0230857,0.0173752,0.0116212,0.0266839,0.0246525,0.0274924,-0.0161329
3,8,0.0496952,0.0453766,0.0282947,0.0160043,0.0456069,0.0441948,0.0430732,-0.0309809
3,9,0.0743443,0.0802733,0.0427884,0.032585,0.0778118,0.0809828,0.0820334,-0.0665626
3,10,0.130014,0.132727,0.0720258,0.0547138,0.122764,0.131857,0.128351,-0.116361
3,11,0.209203,0.209203,0.120613,0.0910887,0.188141,0.195111,0.209995,-0.203897
3,12,0.308733,0.304768,0.178947,0.129771,0.267436,0.286508,0.306159,-0.300734
3,13,0.411555,0.411792,0.23545,0.175512,0.354118,0.372391,0.40877,-0.406933
3,14,0.509597,0.509399,0.295565,0.220669,0.430687,0.456866,0.506874,-0.50049
3,15,0.587661,0.588615,0.356386,0.263755,0.479278,0.515873,0.587601,-0.576959
3,16,0.654584,0.652177,0.418502,0.314925,0.492345,0.541101,0.654195,-0.611267
3,17,0.714445,0.712633,0.491324,0.377608,0.478124,0.536487,0.713021,-0.600932
3,18,0.775225,0.774909,0.579376,0.458238,0.444672,0.509552,0.774194,-0.533819
3,19,0.843022,0.843559,0.681189,0.562282,0.397328,0.463528,0.843203,-0.355901
3,20,0.895328,0.895748,0.77051,0.652745,0.348869,0.40677,0.895182,-0.112426
3,21,0.945184,0.945459,0.856295,0.738952,0.310647,0.35145,0.94501,0.248218
3,22,0.98288,0.982964,0.926076,0.799683,0.287655,0.307232,0.982807,0.646375
3,23,0.998316,0.998307,0.96817,0.816456,0.278189,0.285567,0.998301,0.913666
3,24,0.999988,0.999988,0.991357,0.813824,0.277288,0.276316,0.999988,0.994384
3,25,1,1,1,0.828568,0.285713,0.257146,1,1
3,26,1,1,0.966542,0.836179,0.28061,0.276713,1,0.999464
3,27,1,1,0.906792,0.894574,0.286798,0.279529,1,0.999647
3,28,1,1,0.897198,0.956661,0.288032,0.266079,1,0.999925
3,29,1,1,0.885715,0.97143,0.285714,0.257143,1,1
4,0,0.0056,0.0096,0.0049,0.0042,0.0067,0.0071,0.0026,0.0077
4,1,0.0017,0.0085,0.0018,0.0067,0.0091,0.0006,0.0083,0.0067
4,2,0.0081,0.002,0.0019,0.0077,0.0003,0.0068,0.0064,0.0077
4,3,0.0037,0.0061,0.0027,0.0048,0.0042,0.0058,0.0062,0.0096
4,4,0.00564812,0.00134876,0.00398027,0.0024422,0.00824348,0.00654799,0.000148942,0.00944963
4,5,0.00899032,0.00580315,0.00836974,0.00542374,0.00616046,0.00859192,0.00460797,-0.00361198
4,6,0.0187909,0.0148404,0.0142475,0.0109283,0.0212241,0.0168157,0.0167169,-0.00950721
4,7,0.0289469,0.0350682,0.0217058,0.014603,0.0307815,0.0321533,0.0325419,-0.0203965
4,8,0.0610439,0.0639692,0.0290487,0.0234981,0.0593683,0.0567549,0.0589678,-0.0474549
4,9,0.107255,0.113162,0.0576264,0.0427772,0.104661,0.108702,0.109493,-0.104929
4,10,0.187762,0.184901,0.101429,0.0728263,0.179793,0.182222,0.189561,-0.17599
4,11,0.311816,0.310637,0.170931,0.122605,0.27688,0.294998,0.312441,-0.302519
4,12,0.45305,0.455524,0.254731,0.187404,0.404168,0.42398,0.455304,-0.448982
4,13,0.596129,0.597058,0.333185,0.243007,0.53826,0.561145,0.597664,-0.594756
4,14,0.716981,0.715929,0.401789,0.294227,0.638591,0.670878,0.71846,-0.715617
4,15,0.794072,0.793782,0.453777,0.337325,0.689598,0.726075,0.794824,-0.787759
4,16,0.84062,0.84033,0.508022,0.38158,0.681208,0.731157,0.839023,-0.81371
4,17,0.873943,0.8744,0.576464,0.438102,0.624339,0.693335,0.873515,-0.802755
4,18,0.907091,0.906753,0.662166,0.515425,0.538627,0.623374,0.906881,-0.747475
4,19,0.94018,0.939649,0.752454,0.606922,0.44386,0.535992,0.93946,-0.609984
4,20,0.961757,0.961753,0.824773,0.683436,0.36645,0.45279,0.961407,-0.417934
4,21,0.978717,0.978866,0.883651,0.751932,0.315464,0.381598,0.978656,-0.104459
4,22,0.991609,0.991591,0.92953,0.805027,0.289341,0.326771,0.991501,0.317341
4,23,0.998398,0.998399,0.961158,0.83033,0.281752,0.293652,0.998381,0.714294
4,24,0.999918,0.999918,0.980078,0.832779,0.282613,0.277772,0.999918,0.932434
4,25,0.999999,0.999999,0.986324,0.835677,0.285149,0.27013,0.999999,0.987098
4,26,1,1,0.965876,0.872265,0.293542,0.274264,1,0.992475
4,27,1,1,0.943197,0.941558,0.30451,0.272177,1,0.997752
4,28,1,1,0.933768,0.986467,0.295611,0.262896,1,0.999879
4,29,1,1,0.914289,0.999999,0.285714,0.257143,1,1
5,0,0.0005,0.001,0.0014,0.003,0.0038,0.0045,0.0088,0.0006
5,1,0.0078,0.0086,0.0003,0.0043,0.0026,0.0002,0.0013,0.0008
5,2,0.0064,0.0085,0.0055,0.0041,0.0013,0.008,0.0016,0.0066
5,3,0.0002,0.0038,0.0069,0.0086,0.0038,0.0084,0.0079,0.0041
5,4,0.00959778,0.00929784,0.00730695,0.00315643,0.00389321,0.00609848,0.00389892,0.00120007
5,5,0.00960674,0.00891033,0.00822484,0.00890474,0.0091561,0.0120939,0.0127903,-0.00473187
5,6,0.0212123,0.0192441,0.0121371,0.0122599,0.0170042,0.0217043,0.0192441,-0.014422
5,7,0.0461115,0.0372506,0.0183693,0.0163438,0.0447532,0.0444741,0.0440889,-0.029064
5,8,0.0813822,0.0790693,0.0391102,0.0278246,0.0736203,0.0792895,0.0767563,-0.070095
5,9,0.150208,0.149351,0.0756592,0.0549138,0.141677,0.142454,0.145236,-0.142492
5,10,0.25571,0.258846,0.13751,0.0971659,0.244728,0.252027,0.257651,-0.251304
5,11,0.427505,0.430655,0.2352,0.170895,0.395907,0.412535,0.431342,-0.42699
5,12,0.627585,0.627622,0.337749,0.245541,0.578946,0.600744,0.62597,-0.623792
5,13,0.799202,0.800087,0.426972,0.308391,0.748998,0.773816,0.800147,-0.797191
5,14,0.906908,0.906711,0.480024,0.351736,0.854477,0.879594,0.906407,-0.906023
5,15,0.950319,0.950433,0.507944,0.37832,0.885628,0.913676,0.95028,-0.947667
5,16,0.962466,0.962171,0.542074,0.406163,0.846803,0.889003,0.962025,-0.952605
5,17,0.968735,0.968757,0.609127,0.459564,0.738997,0.80996,0.968266,-0.937561
5,18,0.978055,0.977942,0.705592,0.541145,0.584223,0.686472,0.977687,-0.900935
5,19,0.987826,0.987844,0.798898,0.630155,0.433946,0.554254,0.98761,-0.823334
5,20,0.993122,0.993109,0.862541,0.698818,0.335313,0.454249,0.992954,-0.722722
5,21,0.995958,0.995945,0.904651,0.757214,0.287275,0.385604,0.995824,-0.529131
5,22,0.997769,0.997773,0.934886,0.808734,0.272094,0.337705,0.997691,-0.188111
5,23,0.999178,0.999179,0.955851,0.846375,0.277127,0.30682,0.999145,0.268157
5,24,0.999871,0.999871,0.967796,0.868769,0.291358,0.290891,0.999865,0.667621
5,25,0.999993,0.999993,0.971539,0.892379,0.30789,0.284645,0.999993,0.88174
5,26,1,1,0.971563,0.936891,0.329044,0.280491,1,0.968002
5,27,1,1,0.977892,0.982048,0.345666,0.269659,1,0.996318
5,28,1,1,0.984365,0.997748,0.331553,0.265385,1,0.9999
5,29,1,1,0.999996,1,0.285716,0.257147,1,1
6,0,0.0054,0.0081,0.007,0.0057,0.0054,0.0096,0.0078,0.0049
6,1,0.0017,0.0082,0.0005,0.0083,0.0017,0.0061,0.0012,0.0031
6,2,0.0092,0.0036,0.0013,0.0013,0.0052,0.0013,0.0044,0.0079
6,3,0.0039,0.007,0.0045,0.0097,0.0063,0.002,0.0074,0.0016
6,4,0.000447645,0.00474658,0.00743265,0.00556941,0.00423963,0.00524646,0.00054762,0.00535092
6,5,0.0093536,0.00676965,0.00705105,0.00688633,0.0126691,0.0113413,0.0139252,-0.000508546
6,6,0.0276805,0.0281709,0.01644,0.0106842,0.0194285,0.020521,0.0209133,-0.0152249
6,7,0.0530277,0.0509269,0.0261129,0.0203987,0.0523519,0.0461524,0.0509269,-0.0372719
6,8,0.098193,0.096561,0.0507254,0.0422169,0.098682,0.0967589,0.0977397,-0.0919368
6,9,0.184807,0.188409,0.0989005,0.0673329,0.178167,0.184469,0.186771,-0.179157
6,10,0.330022,0.330358,0.175285,0.122793,0.317954,0.331756,0.332844,-0.325653
6,11,0.554489,0.553147,0.299047,0.209997,0.518236,0.53808,0.552923,-0.549344
6,12,0.789134,0.788433,0.417711,0.29356,0.747953,0.769004,0.789112,-0.78703
6,13,0.942559,0.942737,0.489251,0.342776,0.910817,0.930958,0.942816,-0.942368
6,14,0.991673,0.991669,0.506837,0.369319,0.972843,0.985718,0.991609,-0.991553
6,15,0.998436,0.998447,0.508412,0.388122,0.98548,0.993346,0.998416,-0.998253
6,16,0.997772,0.997786,0.522333,0.399607,0.948703,0.970813,0.997731,-0.996321
6,17,0.996778,0.996771,0.598913,0.452405,0.805751,0.873424,0.996682,-0.987963
6,18,0.9977,0.997689,0.727501,0.552382,0.570749,0.693683,0.997588,-0.971023
6,19,0.999144,0.999145,0.833814,0.645082,0.364073,0.517938,0.999075,-0.946417
6,20,0.999686,0.999689,0.886692,0.701792,0.26551,0.418359,0.999649,-0.925247
6,21,0.999809,0.999809,0.920511,0.759433,0.235039,0.360687,0.999774,-0.857744
6,22,0.999816,0.999815,0.947141,0.819744,0.231538,0.321574,0.999769,-0.680379
6,23,0.999845,0.999844,0.961839,0.863713,0.250094,0.30398,0.99979,-0.310046
6,24,0.999943,0.999943,0.969192,0.898505,0.288353,0.300067,0.999914,0.228184
6,25,0.999995,0.999995,0.97493,0.935628,0.332316,0.300181,0.999991,0.69628
6,26,1,1,0.983077,0.973121,0.366647,0.294293,1,0.935443
6,27,1,1,0.993876,0.995861,0.383726,0.269094,1,0.996461
6,28,1,1,1,1,0.399996,0.228577,1,1
6,29,1,1,1,1,0.314289,0.371418,1,1
7,0,0.0029,0.0074,0.0019,0.0085,0.0009,0.0086,0.0091,0.0065
7,1,0.0048,0.0021,0.0065,0.0037,0.0071,0.0019,0.005,0.0047
7,2,0.0051,0.0027,0.007,0.009,0.0088,0.0029,0.003,0.0006
7,3,0.0058,0.0075,0.0023,0.0084,0.0096,0.008,0.0012,0.0024
7,4,0.00578111,0.00338179,0.000953222,0.00627901,0.00187414,0.000282667,0.00308188,0.00611552
7,5,0.00903717,0.0159885,0.00346587,0.0114323,0.00797267,0.011917,0.0105267,-0.000993484
7,6,0.0292418,0.02259,0.01594,0.0141312,0.0249937,0.029633,0.028557,-0.0129059
7,7,0.0567273,0.0602367,0.0328989,0.0233212,0.0577859,0.0598573,0.0585294,-0.0490445
7,8,0.109666,0.115375,0.0630186,0.0421075,0.112786,0.109575,0.116445,-0.107793
7,9,0.213335,0.220028,0.117553,0.0793113,0.208685,0.214611,0.218847,-0.211052
7,10,0.390904,0.390598,0.207753,0.146377,0.37407,0.390259,0.392432,-0.384607
7,11,0.651857,0.651577,0.345888,0.24158,0.615181,0.638281,0.651855,-0.648813
7,12,0.892911,0.89248,0.468013,0.317706,0.857857,0.88041,0.892397,-0.891167
7,13,0.992072,0.99206,0.514097,0.33516,0.969892,0.989051,0.991923,-0.99189
7,14,0.999942,0.999941,0.511868,0.352275,0.987122,0.999636,0.999938,-0.999938
